strain,Sequencing_technology,Primers_used,simple_strain,Primers
SouthAfrica/KRISP-0487/2020,Illumina Miseq,ARTIC_V2,KRISP-0487,
SouthAfrica/KRISP-0489/2020,Illumina Miseq,ARTIC_V2,KRISP-0489,
SouthAfrica/KRISP-0490/2020,Illumina Miseq,ARTIC_V2,KRISP-0490,
SouthAfrica/KRISP-0491/2020,Illumina Miseq,ARTIC_V2,KRISP-0491,
SouthAfrica/KRISP-0492/2020,Illumina Miseq,ARTIC_V2,KRISP-0492,
SouthAfrica/KRISP-0493/2020,Illumina Miseq,ARTIC_V2,KRISP-0493,
SouthAfrica/KRISP-0494/2020,Illumina Miseq,ARTIC_V2,KRISP-0494,
SouthAfrica/KRISP-0497/2020,Illumina Miseq,ARTIC_V2,KRISP-0497,
SouthAfrica/KRISP-0498/2020,Illumina Miseq,ARTIC_V2,KRISP-0498,
SouthAfrica/KRISP-0500/2020,Illumina Miseq,ARTIC_V2,KRISP-0500,
SouthAfrica/KRISP-0501/2020,Illumina Miseq,ARTIC_V2,KRISP-0501,
SouthAfrica/KRISP-0502/2020,Illumina Miseq,ARTIC_V2,KRISP-0502,
SouthAfrica/KRISP-0503/2020,Illumina Miseq,ARTIC_V2,KRISP-0503,
SouthAfrica/KRISP-051/2020,Illumina Miseq,ARTIC_V2,KRISP-051,
SouthAfrica/KRISP-0526/2020,Illumina Miseq,ARTIC_V2,KRISP-0526,
